image,label
Augmented Data/augmented_0.jpg,Bicycle
Augmented Data/augmented_1.jpg,Bicycle
Augmented Data/augmented_2.jpg,Bicycle
Augmented Data/augmented_3.jpg,Bicycle
Augmented Data/augmented_4.jpg,Bicycle
Augmented Data/augmented_5.jpg,Bicycle
Augmented Data/augmented_6.jpg,Bicycle
Augmented Data/augmented_7.jpg,Bicycle
Augmented Data/augmented_8.jpg,Bicycle
Augmented Data/augmented_9.jpg,Bicycle
Augmented Data/augmented_10.jpg,Bicycle
Augmented Data/augmented_11.jpg,Bicycle
Augmented Data/augmented_12.jpg,Bicycle
Augmented Data/augmented_13.jpg,Bicycle
Augmented Data/augmented_14.jpg,Bicycle
Augmented Data/augmented_15.jpg,Bicycle
Augmented Data/augmented_16.jpg,Bicycle
Augmented Data/augmented_17.jpg,Bicycle
Augmented Data/augmented_18.jpg,Bicycle
Augmented Data/augmented_19.jpg,Bicycle
Augmented Data/augmented_20.jpg,Bicycle
Augmented Data/augmented_21.jpg,Bicycle
Augmented Data/augmented_22.jpg,Bicycle
Augmented Data/augmented_23.jpg,Bicycle
Augmented Data/augmented_24.jpg,Bicycle
Augmented Data/augmented_25.jpg,Bicycle
Augmented Data/augmented_26.jpg,Bicycle
Augmented Data/augmented_27.jpg,Bicycle
Augmented Data/augmented_28.jpg,Bicycle
Augmented Data/augmented_29.jpg,Bicycle
Augmented Data/augmented_30.jpg,Bicycle
Augmented Data/augmented_31.jpg,Bicycle
Augmented Data/augmented_32.jpg,Bicycle
Augmented Data/augmented_33.jpg,Bicycle
Augmented Data/augmented_34.jpg,Bicycle
Augmented Data/augmented_35.jpg,Bicycle
Augmented Data/augmented_36.jpg,Bicycle
Augmented Data/augmented_37.jpg,Bicycle
Augmented Data/augmented_38.jpg,Bicycle
Augmented Data/augmented_39.jpg,Bicycle
Augmented Data/augmented_40.jpg,Bicycle
Augmented Data/augmented_41.jpg,Bicycle
Augmented Data/augmented_42.jpg,Bicycle
Augmented Data/augmented_43.jpg,Bicycle
Augmented Data/augmented_44.jpg,Bicycle
Augmented Data/augmented_45.jpg,Bicycle
Augmented Data/augmented_46.jpg,Bicycle
Augmented Data/augmented_47.jpg,Bicycle
Augmented Data/augmented_48.jpg,Bicycle
Augmented Data/augmented_49.jpg,Bicycle
Augmented Data/augmented_50.jpg,Bicycle
Augmented Data/augmented_51.jpg,Bicycle
Augmented Data/augmented_52.jpg,Bicycle
Augmented Data/augmented_53.jpg,Bicycle
Augmented Data/augmented_54.jpg,Bicycle
Augmented Data/augmented_55.jpg,Bicycle
Augmented Data/augmented_56.jpg,Bicycle
Augmented Data/augmented_57.jpg,Bicycle
Augmented Data/augmented_58.jpg,Bicycle
Augmented Data/augmented_59.jpg,Bicycle
Augmented Data/augmented_60.jpg,Bicycle
Augmented Data/augmented_61.jpg,Bicycle
Augmented Data/augmented_62.jpg,Bicycle
Augmented Data/augmented_63.jpg,Bicycle
Augmented Data/augmented_64.jpg,Bicycle
Augmented Data/augmented_65.jpg,Bicycle
Augmented Data/augmented_66.jpg,Bicycle
Augmented Data/augmented_67.jpg,Bicycle
Augmented Data/augmented_68.jpg,Bicycle
Augmented Data/augmented_69.jpg,Bicycle
Augmented Data/augmented_70.jpg,Bicycle
Augmented Data/augmented_71.jpg,Bicycle
Augmented Data/augmented_72.jpg,Bicycle
Augmented Data/augmented_73.jpg,Bicycle
Augmented Data/augmented_74.jpg,Bicycle
Augmented Data/augmented_75.jpg,Bicycle
Augmented Data/augmented_76.jpg,Bicycle
Augmented Data/augmented_77.jpg,Bicycle
Augmented Data/augmented_78.jpg,Bicycle
Augmented Data/augmented_79.jpg,Bicycle
Augmented Data/augmented_80.jpg,Bicycle
Augmented Data/augmented_81.jpg,Bicycle
Augmented Data/augmented_82.jpg,Bicycle
Augmented Data/augmented_83.jpg,Bicycle
Augmented Data/augmented_84.jpg,Bicycle
Augmented Data/augmented_85.jpg,Bicycle
Augmented Data/augmented_86.jpg,Bicycle
Augmented Data/augmented_87.jpg,Bicycle
Augmented Data/augmented_88.jpg,Bicycle
Augmented Data/augmented_89.jpg,Bicycle
Augmented Data/augmented_90.jpg,Bicycle
Augmented Data/augmented_91.jpg,Bicycle
Augmented Data/augmented_92.jpg,Bicycle
Augmented Data/augmented_93.jpg,Bicycle
Augmented Data/augmented_94.jpg,Bicycle
Augmented Data/augmented_95.jpg,Bicycle
Augmented Data/augmented_96.jpg,Bicycle
Augmented Data/augmented_97.jpg,Bicycle
Augmented Data/augmented_98.jpg,Bicycle
Augmented Data/augmented_99.jpg,Bicycle
Augmented Data/augmented_100.jpg,Bicycle
Augmented Data/augmented_101.jpg,Bicycle
Augmented Data/augmented_102.jpg,Bicycle
Augmented Data/augmented_103.jpg,Bicycle
Augmented Data/augmented_104.jpg,Bicycle
Augmented Data/augmented_105.jpg,Bicycle
Augmented Data/augmented_106.jpg,Bicycle
Augmented Data/augmented_107.jpg,Bicycle
Augmented Data/augmented_108.jpg,Bicycle
Augmented Data/augmented_109.jpg,Bicycle
Augmented Data/augmented_110.jpg,Bicycle
Augmented Data/augmented_111.jpg,Bicycle
Augmented Data/augmented_112.jpg,Bicycle
Augmented Data/augmented_113.jpg,Bicycle
Augmented Data/augmented_114.jpg,Bicycle
Augmented Data/augmented_115.jpg,Bicycle
Augmented Data/augmented_116.jpg,Bicycle
Augmented Data/augmented_117.jpg,Bicycle
Augmented Data/augmented_118.jpg,Bicycle
Augmented Data/augmented_119.jpg,Bicycle
Augmented Data/augmented_120.jpg,Bicycle
Augmented Data/augmented_121.jpg,Bicycle
Augmented Data/augmented_122.jpg,Bicycle
Augmented Data/augmented_123.jpg,Bicycle
Augmented Data/augmented_124.jpg,Bicycle
Augmented Data/augmented_125.jpg,Bicycle
Augmented Data/augmented_126.jpg,Bicycle
Augmented Data/augmented_127.jpg,Bicycle
Augmented Data/augmented_128.jpg,Bicycle
Augmented Data/augmented_129.jpg,Bicycle
Augmented Data/augmented_130.jpg,Bicycle
Augmented Data/augmented_131.jpg,Bicycle
Augmented Data/augmented_132.jpg,Bicycle
Augmented Data/augmented_133.jpg,Bicycle
Augmented Data/augmented_134.jpg,Bicycle
Augmented Data/augmented_135.jpg,Bicycle
